"Colors and Images","Colors and Images"
"Width","Width"
"Height","Height"
"Border Radius","Border Radius"
"Width (Picker)","Width (Picker)"
"Height (Picker)","Height (Picker)"
"Border Radius (Picker)","Border Radius (Picker)"
"Width (State)","Width (State)"
"Height (State)","Height (State)"
"Border Radius (State)","Border Radius (State)"
"pixels","pixels"
"Color","Color"
"Normal Image","Normal Image"
"Selected Image","Selected Image"
"Normal Hovered Image","Normal Hovered Image"
"Selected Hovered Image","Selected Hovered Image"
"Colors and Images (Horizontal)","Colors and Images (Horizontal)"
"Colors and Images (Vertical)","Colors and Images (Vertical)"
"Image","Image"
"Mouse Over","Mouse Over"
"Selected Mouse Over","Selected Mouse Over"
"Colors and Images (Picker)","Colors and Images (Picker)"
"Colors and Images (State)","Colors and Images (State)"
"In State","In State"
"Label","Label"
"Color and Image","Color and Image"
"Color, Image and Label","Color, Image and Label"
"As In Filter Options","As In Filter Options"
"Add","Add"
"Change","Change"
"Remove","Remove"
"",""
"",""
"",""
"",""
"",""
