"Filter Specific Content Applied When %s","Filter Specific Content Applied When %s"
"New Filter Specific Content","New Filter Specific Content"
"Are you sure you want to delete this filter specific content and all related option pages?","Are you sure you want to delete this filter specific content and all related option pages?"
"Conditions","Conditions"
"Condition Combination","Condition Combination"
"Applied Filter","Applied Filter"
"contains all of these","contains all of these"
"does not contain any of these","does not contain any of these"
"contains at least one of these","contains at least one of these"
"does not contain at least one of these","does not contain at least one of these"
"filter","filter"
"lower bound is","lower bound is"
"lower bound is not","lower bound is not"
"lower bound equals or greater than","lower bound equals or greater than"
"lower bound equals or less than","lower bound equals or less than"
"lower bound greater than","lower bound greater than"
"lower bound less than","lower bound less than"
"upper bound is","upper bound is"
"upper bound is not","upper bound is not"
"upper bound equals or greater than","upper bound equals or greater than"
"upper bound equals or less than","upper bound equals or less than"
"upper bound greater than","upper bound greater than"
"upper bound less than","upper bound less than"
"Page Type","Page Type"
"one of these","one of these"
"not any of these","not any of these"
"General","General"
"Enabled","Enabled"
"Final Filter Content Processing Rule","Final Filter Content Processing Rule"
"Page Title","Page Title"
"Change Page Title","Change Page Title"
"Filter Specific Content","Filter Specific Content"
"",""
"",""
"",""
"",""
"",""
