"MANAdev Guest Book Configuration","MANAdev Guest Book Configuration"
"Guest Book","Гостевая книга"
"Moderated","Модерируемый"
"If set, each guest post requires approval in order to be visible in frontend","Если установлен, то каждый отзыв требует проверки и утверждения администратором, чтобы стать видимым"
"Email Field","Email поле"
"Visible in Grid","Видим в таблице отзывов"
"Used to order fields in form and grid","Используется для установки позиции и в форме и в таблице отзывов"
"Name Field","Поле имени"
"Country Field","Поле страны"
"Region Field","Поле региона/области"
"Allow Any Text","Позволен любой текст"
"If set, customer enters region as text; if not set, customer chooses the region from dropdown list","If set, customer enters region as text; if not set, customer chooses the region from dropdown list"
"If set, Country field should be either active or default value assigned","Если включить, то либо поле страны тоже должно быть включено, либо будет выбрана страна по умолчанию"
"Guest Posts","Гостевые отзывы"
"What do you think of us? Please %s. It is important to us!","Что Вы думаете про наш магазин? Пожалуйста, %s. Это очень важно для нас!"
"share","оставьте свой отзыв"
"Your post has been submitted. Thank you for your opinion.","Отзыв был отправлен. Спасибо что оставили свое мнение."
"Your post has been submitted for moderation. Thank you for your opinion.","Отзыв был отправлен на проверку. Он появится спустя какое-то время. Спасибо что оставили свое мнение."
"Unable to submit your post. Please, try again later","Не удалось отослать Ваш отзыв. Попробуйте еще раз немножко позже"
"URL Field","Поле URL"
"Guest Post #%d","Гостевой отзыв #%d"
"New Guest Post","Новое гостевой отзыв"
"Adds a column in MANAdev -> Guest Book table","Добавляет колонку в таблице отзывов Гостевой книги"
"Visible in frontend","Видим в фронтенде"
"Random Guest Post","Случайной гостевой отзыв"
"Displays random guest post","Показывать случайные гостевые отзывы"
"Number of Posts","Количество отзывов"
"Maximum Number of Characters","Maximum Number of Characters"
"Leave empty to show full text","Оставьте пустым чтобы увидеть полный текст"
"Read more","Читать дальше"
"Random Guest Post (MANAdev)","Случайный гостевой отзыв (MANAdev)"
"Mage_Core::Name","Имя"
