"Sliders","Sliders"
"ID","ID"
"Name","Name"
"Store View","Store View"
"Product and CMS Block Slider","Product and CMS Block Slider"
"Banner (MANAdev)","Banner (MANAdev)"
"Adds slider with products and CMS blocks","Adds slider with products and CMS blocks"
"Products","Products"
"Automatically Added Products","Automatically Added Products"
"Featured Products","Featured Products"
"Visual Effects","Visual Effects"
"Product Fields","Product Fields"
"Rotation","Rotation"
"Rotate Items Each","Rotate Items Each"
"Hiding","Hiding"
"Selected","Selected"
"Product ID","Product ID"
"Name","Name"
"Position","Position"
"Add CMS Blocks","Add CMS Blocks"
"Add Products","Add Products"
"Remove Selected","Remove Selected"
"Show Product Name","Show Product Name"
"Show Product Description","Show Product Description"
"Show Product Price","Show Product Price"
"Show 'Add to Cart' Button","Show 'Add to Cart' Button"
"Show Other 'Add to ...' Links","Show Other 'Add to ...' Links"
"Show Product Rating","Show Product Rating"
"CMS Blocks","CMS Blocks"
"Identifier","Identifier"
"CSS Classes","CSS Classes"
"separate CSS classes with spaces","separate CSS classes with spaces"
"Product Text Position and Size","Product Text Position and Size"
"Left","Left"
"Top","Top"
"Width","Width"
"Height","Height"
"Product Image Position and Size","Product Image Position and Size"

"Show","Show"
"Category Page: Carousel Fields","Category Page: Carousel Fields"
"Show Product Name","Show Product Name"
"Show Product Description","Show Product Description"
"Show Product Price","Show Product Price"
"Show 'Add to Cart' Button","Show 'Add to Cart' Button"
"Show Other 'Add to ...' Links","Show Other 'Add to ...' Links"
"Category Page: Carousel Effect","Category Page: Carousel Effect"
"Hide Effect","Hide Effect"
"Custom Hide Effect Name","Custom Hide Effect Name"
"Use These Hide Effects in Random Sequence","Use These Hide Effects in Random Sequence"
"Play Hide Effect For","Play Hide Effect For"
"Show Effect","Show Effect"
"Custom Show Effect Name","Custom Show Effect Name"
"Use These Show Effects in Random Sequence","Use These Show Effects in Random Sequence"
"Play Show Effect For","Play Show Effect For"
"Rotate Products Each","Rotate Products Each"
"File should be in app/design/frontend/[package]/[theme]/template directory with '.phtml' extension","File should be in app/design/frontend/[package]/[theme]/template directory with '.phtml' extension"
"Include jQuery plugin containing this effect","Include jQuery plugin containing this effect"
"millisecond(s)","millisecond(s)"
"Category Page: Carousel Helper","Category Page: Carousel Helper"
"Display As","Display As"
"Category Page: Carousel Navigation","Category Page: Carousel Navigation"
"Custom Template File for 'Previous' Action","Custom Template File for 'Previous' Action"
"Custom Template File for 'Next' Action","Custom Template File for 'Next' Action"
"Category Page: Other Carousel Settings","Category Page: Other Carousel Settings"
"Shuffle","Shuffle"
"Starting From","Starting From"
"Random Start","Random Start"
"Auto Start","Auto Start"
"Maximum Number of Product to Show","Maximum Number of Product to Show"
"Custom Layout XML","Custom Layout XML"
"Use Custom Effect","Use Custom Effect"
"None","None"
"Use Custom Template","Use Custom Template"
"None (Hide)","None (Hide)"
"All Featured Products","All Featured Products"
"Specified Number Of Products","Specified Number Of Products"
"Position","Position"
"Top","Top"
"Bottom","Bottom"
"Carousel","Carousel"
"Numbers","Numbers"
"Arrows","Arrows"
"Change Effects Randomly","Change Effects Randomly"
"Show Product Rating","Show Product Rating"
"Blind - Blinds the element away or shows it by blinding it in","Blind - Blinds the element away or shows it by blinding it in"
"Clip - Clips the element on or off, vertically or horizontally","Clip - Clips the element on or off, vertically or horizontally"
"Drop - Drops the element away or shows it by dropping it in","Drop - Drops the element away or shows it by dropping it in"
"Fade - Fades the element, by gradually changing its opacity","Fade - Fades the element, by gradually changing its opacity"
"Slide - Slides the element out of the viewport","Slide - Slides the element out of the viewport"
"Blind Effect Direction","Blind Effect Direction"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Left","Left"
"Top","Top"
"Right","Right"
"Bottom","Bottom"
"Clip Effect Direction","Clip Effect Direction"
"Drop Effect Direction","Drop Effect Direction"
"Include Subcategory Products","Include Subcategory Products"
"Activate Product On","Activate Product On"
"Mouse Over","Mouse Over"
"Mouse Click","Mouse Click"
"Category Page: Carousel Decorations","Category Page: Carousel Decorations"
"Top Left","Top Left"
"Top","Top"
"Top Right","Top Right"
"Right","Right"
"Bottom Right","Bottom Right"
"Bottom","Bottom"
"Bottom Left","Bottom Left"
"Left","Left"
"Green Clips","Green Clips"
"Orange Corner","Orange Corner"
"Red Corner","Red Corner"
"Yellow Ribbon","Yellow Ribbon"
"Orange Ribbon","Orange Ribbon"
"CSS Class Name","CSS Class Name"
"without preceding dot (.), define CSS class under the same name in one of your theme CSS files","without preceding dot (.), define CSS class under the same name in one of your theme CSS files"
"Sort Products By","Sort Products By"
"%s Ascending","%s Ascending"
"%s Descending","%s Descending"
"Randomly","Randomly"
"Bullets","Bullets"
"Ignored if hide effect is Slider","Ignored if hide effect is Slider"
"Shadow","Shadow"
"Category Page: Small Image Decorations","Category Page: Small Image Decorations"
"Lifted Corners","Lifted Corners"
"Curled corners","Curled corners"
"Perspective","Perspective"
"Raised box","Raised box"
"Left vertical curve","Left vertical curve"
"Vertical curves","Vertical curves"
"Bottom horizontal curve","Bottom horizontal curve"
"Horizontal curves","Horizontal curves"
"Product Slider","Product Slider"

"Black Corner with White Text","Black Corner with White Text"
"Black Ribbon with White Text","Black Ribbon with White Text"
"Black Clip with White Text","Black Clip with White Text"

"Blue Corner with White Text","Blue Corner with White Text"
"Blue Ribbon with White Text","Blue Ribbon with White Text"
"Blue Clip with White Text","Blue Clip with White Text"
"Blue Corner with Black Text","Blue Corner with Black Text"
"Blue Ribbon with Black Text","Blue Ribbon with Black Text"
"Blue Clip with Black Text","Blue Clip with Black Text"

"Burgundy Corner with White Text","Burgundy Corner with White Text"
"Burgundy Ribbon with White Text","Burgundy Ribbon with White Text"
"Burgundy Clip with White Text","Burgundy Clip with White Text"
"Burgundy Corner with Black Text","Burgundy Corner with Black Text"
"Burgundy Ribbon with Black Text","Burgundy Ribbon with Black Text"
"Burgundy Clip with Black Text","Burgundy Clip with Black Text"

"Green Corner with White Text","Green Corner with White Text"
"Green Ribbon with White Text","Green Ribbon with White Text"
"Green Clip with White Text","Green Clip with White Text"
"Green Corner with Black Text","Green Corner with Black Text"
"Green Ribbon with Black Text","Green Ribbon with Black Text"
"Green Clip with Black Text","Green Clip with Black Text"

"Grey Corner with White Text","Grey Corner with White Text"
"Grey Ribbon with White Text","Grey Ribbon with White Text"
"Grey Clip with White Text","Grey Clip with White Text"
"Grey Corner with Black Text","Grey Corner with Black Text"
"Grey Ribbon with Black Text","Grey Ribbon with Black Text"
"Grey Clip with Black Text","Grey Clip with Black Text"

"Yellow Corner with White Text","Yellow Corner with White Text"
"Yellow Ribbon with White Text","Yellow Ribbon with White Text"
"Yellow Clip with White Text","Yellow Clip with White Text"
"Yellow Corner with Black Text","Yellow Corner with Black Text"
"Yellow Ribbon with Black Text","Yellow Ribbon with Black Text"
"Yellow Clip with Black Text","Yellow Clip with Black Text"

"Navy Corner with White Text","Navy Corner with White Text"
"Navy Ribbon with White Text","Navy Ribbon with White Text"
"Navy Clip with White Text","Navy Clip with White Text"
"Navy Corner with Black Text","Navy Corner with Black Text"
"Navy Ribbon with Black Text","Navy Ribbon with Black Text"
"Navy Clip with Black Text","Navy Clip with Black Text"

"Orange Corner with White Text","Orange Corner with White Text"
"Orange Ribbon with White Text","Orange Ribbon with White Text"
"Orange Clip with White Text","Orange Clip with White Text"
"Orange Corner with Black Text","Orange Corner with Black Text"
"Orange Ribbon with Black Text","Orange Ribbon with Black Text"
"Orange Clip with Black Text","Orange Clip with Black Text"

"Pink Corner with White Text","Pink Corner with White Text"
"Pink Ribbon with White Text","Pink Ribbon with White Text"
"Pink Clip with White Text","Pink Clip with White Text"
"Pink Corner with Black Text","Pink Corner with Black Text"
"Pink Ribbon with Black Text","Pink Ribbon with Black Text"
"Pink Clip with Black Text","Pink Clip with Black Text"

"Red Corner with White Text","Red Corner with White Text"
"Red Ribbon with White Text","Red Ribbon with White Text"
"Red Clip with White Text","Red Clip with White Text"
"Red Corner with Black Text","Red Corner with Black Text"
"Red Ribbon with Black Text","Red Ribbon with Black Text"
"Red Clip with Black Text","Red Clip with Black Text"

"White Corner with White Text","White Corner with White Text"
"White Ribbon with White Text","White Ribbon with White Text"
"White Clip with White Text","White Clip with White Text"
"White Corner with Black Text","White Corner with Black Text"
"White Ribbon with Black Text","White Ribbon with Black Text"
"White Clip with Black Text","White Clip with Black Text"

