"MANAdev Louvre Theme","MANAdev Louvre Theme"
"Louvre Theme","Louvre Theme"
"Layered Navigation","Layered Navigation"
"CSS Class","CSS Class"
"Home","Home"
"Two Column List Only","Two Column List Only"
"Grid (default) / Two Column List","Grid (default) / Two Column List"
"List (default) / Two Column List","List (default) / Two Column List"
"Two Column List (default) / Grid","Two Column List (default) / Grid"
"Two Column List (default) / List","Two Column List (default) / List"
"Grid (default) / List / Two Column List","Grid (default) / List / Two Column List"
"Grid (default) / Two Column List / List","Grid (default) / Two Column List / List"
"List (default) / Grid / Two Column List","List (default) / Grid / Two Column List"
"List (default) / Two Column List / Grid","List (default) / Two Column List / Grid"
"Two Column List (default) / Grid / List","Two Column List (default) / Grid / List"
"Two Column List (default) / List / Grid","Two Column List (default) / List / Grid"
"'Two Column List' is only available in MANAdev themes","'Two Column List' is only available in MANAdev themes"
"Two Column List","Two Column List"
"Sidebar Blocks","Sidebar Blocks"
"Change appearance of various blocks by entering one of predefined style names or even your own. This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey', 'm-blue', 'm-line', 'm-shadow', 'm-top-shadow', 'm-right-shadow', 'm-bottom-shadow', 'm-left-shadow'. You may enter several style names separated by space.","Change appearance of various blocks by entering one of predefined style names or even your own. This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey', 'm-blue', 'm-line', 'm-shadow', 'm-top-shadow', 'm-right-shadow', 'm-bottom-shadow', 'm-left-shadow'. You may enter several style names separated by space."
"Grid View","Grid View"
"List View","List View"
"2 Column List View","2 Column List View"
"New Products - Grid View","New Products - Grid View"
"New Products - List View","New Products - List View"
"Name","Name"
"Price","Price"
"Rating","Rating"
"Short Description","Short Description"
"'Learn More' Link","'Learn More' Link"
"'Add to Wishlist' Link","'Add to Wishlist' Link"
"'Add to Compare' Link","'Add to Compare' Link"
"'Add to Cart' Button","'Add to Cart' Button"
"'Out of stock' Notice","'Out of stock' Notice"
"Recently Compared Products - Grid View","Recently Compared Products - Grid View"
"Recently Compared Products - List View","Recently Compared Products - List View"
"Recently Viewed Products - Grid View","Recently Viewed Products - Grid View"
"Recently Viewed Products - List View","Recently Viewed Products - List View"
"Image Aspect Ratio","Image Aspect Ratio"
"Enter two numbers (width and height) separated by colon like 3:4, 1:1, etc. In this theme image width is preset, but height will be adjusted according to this setting","Enter two numbers (width and height) separated by colon like 3:4, 1:1, etc. In this theme image width is preset, but height will be adjusted according to this setting"
"Product View Page","Product View Page"
"Show 'Compare' Link","Show 'Compare' Link"
"This options adds 'Compare' action to top links if there are at least 2 products to be compared","This options adds 'Compare' action to top links if there are at least 2 products to be compared"
"Applies to Recently Compared Products Widget in Sidebar only","Applies to Recently Compared Products Widget in Sidebar only"
"Applies to Recently Viewed Products Widget in Sidebar only","Applies to Recently Viewed Products Widget in Sidebar only"
"Facebook Like Box","Facebook Like Box"
"Applies to Facebook Like Box Widget in Sidebar only","Applies to Facebook Like Box Widget in Sidebar only"
"Random Guest Post","Random Guest Post"
"Applies to Random Guest Post Widget in Sidebar only","Applies to Random Guest Post Widget in Sidebar only"
"Random Product Review","Random Product Review"
"Applies to Random Product Review Widget in Sidebar only","Applies to Random Product Review Widget in Sidebar only"
"Bestsellers","Bestsellers"
"Applies to Bestsellers Widget in Sidebar only","Applies to Bestsellers Widget in Sidebar only"
"Style","Style"
"This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey', 'm-blue', 'm-line', 'm-shadow', 'm-top-shadow', 'm-right-shadow', 'm-bottom-shadow', 'm-left-shadow' style names. You may enter several style names separated by space.","This theme supports 'm-transparent', 'm-pink', 'm-lightgrey' and 'm-darkgrey', 'm-blue', 'm-line', 'm-shadow', 'm-top-shadow', 'm-right-shadow', 'm-bottom-shadow', 'm-left-shadow' style names. You may enter several style names separated by space."
"Bestseller Products - Grid View","Bestseller Products - Grid View"
"Bestseller Products - List View","Bestseller Products - List View"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
